Date,Close,Change,AVG
04/01/2017 16:00:00,116.02,-0.11,-0.2
05/01/2017 16:00:00,116.61,0.51,0.6
06/01/2017 16:00:00,117.91,1.11,1.2
09/01/2017 16:00:00,118.99,0.92,1
10/01/2017 16:00:00,119.11,0.1,0.2
11/01/2017 16:00:00,119.75,0.54,0.6
12/01/2017 16:00:00,119.25,-0.42,-0.4
13/01/2017 16:00:00,119.04,-0.18,-0.2
17/01/2017 16:00:00,120.00,0.81,0.8
18/01/2017 16:00:00,119.99,-0.01,0
19/01/2017 16:00:00,119.78,-0.18,-0.2
20/01/2017 16:00:00,120.00,0.18,0.2
23/01/2017 16:00:00,120.08,0.07,0
24/01/2017 16:00:00,119.97,-0.09,0
25/01/2017 16:00:00,121.88,1.59,1.6
26/01/2017 16:00:00,121.94,0.05,0
27/01/2017 16:00:00,121.95,0.01,0
30/01/2017 16:00:00,121.63,-0.26,-0.2
31/01/2017 16:00:00,121.35,-0.23,-0.2
01/02/2017 16:00:00,128.75,6.1,6
02/02/2017 16:00:00,128.53,-0.17,-0.2
03/02/2017 16:00:00,129.08,0.43,0.4
06/02/2017 16:00:00,130.29,0.94,1
07/02/2017 16:00:00,131.53,0.95,1
08/02/2017 16:00:00,132.04,0.39,0.4
09/02/2017 16:00:00,132.42,0.29,0.2
10/02/2017 16:00:00,132.12,-0.23,-0.2
13/02/2017 16:00:00,133.29,0.89,0.8
14/02/2017 16:00:00,135.02,1.3,1.2
15/02/2017 16:00:00,135.51,0.36,0.4
16/02/2017 16:00:00,135.35,-0.12,-0.2
17/02/2017 16:00:00,135.72,0.27,0.2
21/02/2017 16:00:00,136.70,0.72,0.8
22/02/2017 16:00:00,137.11,0.3,0.2
23/02/2017 16:00:00,136.53,-0.42,-0.4
24/02/2017 16:00:00,136.66,0.1,0
27/02/2017 16:00:00,136.93,0.2,0.2
28/02/2017 16:00:00,136.99,0.04,0
01/03/2017 16:00:00,139.79,2.04,2
02/03/2017 16:00:00,138.96,-0.59,-0.6
03/03/2017 16:00:00,139.78,0.59,0.6
06/03/2017 16:00:00,139.34,-0.31,-0.4
07/03/2017 16:00:00,139.52,0.13,0.2
08/03/2017 16:00:00,139.00,-0.37,-0.4
09/03/2017 16:00:00,138.68,-0.23,-0.2
10/03/2017 16:00:00,139.14,0.33,0.4
13/03/2017 16:00:00,139.20,0.04,0
14/03/2017 16:00:00,138.99,-0.15,-0.2
15/03/2017 16:00:00,140.46,1.06,1
16/03/2017 16:00:00,140.69,0.16,0.2
17/03/2017 16:00:00,139.99,-0.5,-0.4
20/03/2017 16:00:00,141.46,1.05,1
21/03/2017 16:00:00,139.84,-1.15,-1.2
22/03/2017 16:00:00,141.42,1.13,1.2
23/03/2017 16:00:00,140.92,-0.35,-0.4
24/03/2017 16:00:00,140.64,-0.2,-0.2
27/03/2017 16:00:00,140.88,0.17,0.2
28/03/2017 16:00:00,143.80,2.07,2
29/03/2017 16:00:00,144.12,0.22,0.2
30/03/2017 16:00:00,143.93,-0.13,-0.2
31/03/2017 16:00:00,143.66,-0.19,-0.2
03/04/2017 16:00:00,143.70,0.03,0
04/04/2017 16:00:00,144.77,0.74,0.8
05/04/2017 16:00:00,144.02,-0.52,-0.6
06/04/2017 16:00:00,143.66,-0.25,-0.2
07/04/2017 16:00:00,143.34,-0.22,-0.2
10/04/2017 16:00:00,143.17,-0.12,-0.2
11/04/2017 16:00:00,141.63,-1.08,-1
12/04/2017 16:00:00,141.80,0.12,0.2
13/04/2017 16:00:00,141.05,-0.53,-0.6
17/04/2017 16:00:00,141.83,0.55,0.6
18/04/2017 16:00:00,141.20,-0.44,-0.4
19/04/2017 16:00:00,140.68,-0.37,-0.4
20/04/2017 16:00:00,142.44,1.25,1.2
21/04/2017 16:00:00,142.27,-0.12,-0.2
24/04/2017 16:00:00,143.64,0.96,1
25/04/2017 16:00:00,144.53,0.62,0.6
26/04/2017 16:00:00,143.68,-0.59,-0.6
27/04/2017 16:00:00,143.79,0.08,0
28/04/2017 16:00:00,143.65,-0.1,0
01/05/2017 16:00:00,146.58,2.04,2
