Date,Close,Change,AVG
04/01/2017 16:00:00,62.3,-0.45,-0.4
05/01/2017 16:00:00,62.3,0,0
06/01/2017 16:00:00,62.84,0.87,0.8
09/01/2017 16:00:00,62.64,-0.32,-0.4
10/01/2017 16:00:00,62.62,-0.03,0
11/01/2017 16:00:00,63.19,0.91,1
12/01/2017 16:00:00,62.61,-0.92,-1
13/01/2017 16:00:00,62.7,0.14,0.2
17/01/2017 16:00:00,62.53,-0.27,-0.2
18/01/2017 16:00:00,62.5,-0.05,0
19/01/2017 16:00:00,62.3,-0.32,-0.4
20/01/2017 16:00:00,62.74,0.71,0.8
23/01/2017 16:00:00,62.96,0.35,0.4
24/01/2017 16:00:00,63.52,0.89,0.8
25/01/2017 16:00:00,63.68,0.25,0.2
26/01/2017 16:00:00,64.27,0.93,1
27/01/2017 16:00:00,65.78,2.35,2.4
30/01/2017 16:00:00,65.13,-0.99,-1
31/01/2017 16:00:00,64.65,-0.74,-0.8
01/02/2017 16:00:00,63.58,-1.66,-1.6
02/02/2017 16:00:00,63.17,-0.64,-0.6
03/02/2017 16:00:00,63.68,0.81,0.8
06/02/2017 16:00:00,63.64,-0.06,0
07/02/2017 16:00:00,63.43,-0.33,-0.4
08/02/2017 16:00:00,63.34,-0.14,-0.2
09/02/2017 16:00:00,64.06,1.14,1.2
10/02/2017 16:00:00,64,-0.09,0
13/02/2017 16:00:00,64.72,1.13,1.2
14/02/2017 16:00:00,64.57,-0.23,-0.2
15/02/2017 16:00:00,64.53,-0.06,0
16/02/2017 16:00:00,64.52,-0.02,0
17/02/2017 16:00:00,64.62,0.15,0.2
21/02/2017 16:00:00,64.49,-0.2,-0.2
22/02/2017 16:00:00,64.36,-0.2,-0.2
23/02/2017 16:00:00,64.62,0.4,0.4
24/02/2017 16:00:00,64.62,0,0
27/02/2017 16:00:00,64.23,-0.6,-0.6
28/02/2017 16:00:00,63.98,-0.39,-0.4
01/03/2017 16:00:00,64.94,1.5,1.6
02/03/2017 16:00:00,64.01,-1.43,-1.4
03/03/2017 16:00:00,64.25,0.37,0.4
06/03/2017 16:00:00,64.27,0.03,0
07/03/2017 16:00:00,64.4,0.2,0.2
08/03/2017 16:00:00,64.99,0.92,1
09/03/2017 16:00:00,64.73,-0.4,-0.4
10/03/2017 16:00:00,64.93,0.31,0.4
13/03/2017 16:00:00,64.71,-0.34,-0.4
14/03/2017 16:00:00,64.41,-0.46,-0.4
15/03/2017 16:00:00,64.75,0.53,0.6
16/03/2017 16:00:00,64.64,-0.17,-0.2
17/03/2017 16:00:00,64.87,0.36,0.4
20/03/2017 16:00:00,64.93,0.09,0
21/03/2017 16:00:00,64.21,-1.11,-1.2
22/03/2017 16:00:00,65.03,1.28,1.2
23/03/2017 16:00:00,64.87,-0.25,-0.2
24/03/2017 16:00:00,64.98,0.17,0.2
27/03/2017 16:00:00,65.1,0.18,0.2
28/03/2017 16:00:00,65.29,0.29,0.2
29/03/2017 16:00:00,65.47,0.28,0.2
30/03/2017 16:00:00,65.71,0.37,0.4
