Date,Close,Change,AVG
03/01/2017 17:26:00,4.55,-1.94,-2
04/01/2017 17:26:00,4.58,0.66,0.6
05/01/2017 17:26:00,4.57,-0.22,-0.2
06/01/2017 17:26:00,4.7,2.84,2.8
09/01/2017 17:26:00,4.59,-2.34,-2.4
10/01/2017 17:26:00,4.56,-0.65,-0.6
11/01/2017 17:26:00,4.52,-0.88,-0.8
12/01/2017 17:26:00,4.39,-2.88,-2.8
13/01/2017 17:26:00,4.5,2.51,2.6
16/01/2017 17:26:00,4.45,-1.11,-1.2
17/01/2017 17:26:00,4.42,-0.67,-0.6
18/01/2017 17:26:00,4.42,0,0
19/01/2017 17:26:00,4.44,0.45,0.4
20/01/2017 17:26:00,4.44,0,0
23/01/2017 17:26:00,4.34,-2.25,-2.2
24/01/2017 17:26:00,4.32,-0.46,-0.4
25/01/2017 17:26:00,4.25,-1.62,-1.6
26/01/2017 17:26:00,4.38,3.06,3
27/01/2017 17:26:00,4.33,-1.14,-1.2
30/01/2017 17:26:00,4.22,-2.54,-2.6
31/01/2017 17:26:00,4.16,-1.42,-1.4
01/02/2017 17:26:00,4.22,1.44,1.4
02/02/2017 17:26:00,4.45,5.45,5.4
03/02/2017 17:26:00,4.44,-0.22,-0.2
06/02/2017 17:26:00,4.5,1.35,1.4
07/02/2017 17:26:00,4.51,0.22,0.2
08/02/2017 17:26:00,4.54,0.67,0.6
09/02/2017 17:26:00,4.6,1.32,1.4
10/02/2017 17:26:00,4.55,-1.09,-1
13/02/2017 17:26:00,4.64,1.98,2
14/02/2017 17:26:00,4.67,0.65,0.6
15/02/2017 17:26:00,4.66,-0.21,-0.2
16/02/2017 17:26:00,4.72,1.29,1.2
17/02/2017 17:26:00,4.71,-0.21,-0.2
20/02/2017 17:26:00,4.72,0.21,0.2
21/02/2017 17:26:00,4.75,0.64,0.6
22/02/2017 17:26:00,4.79,0.84,0.8
23/02/2017 17:26:00,4.8,0.21,0.2
24/02/2017 17:26:00,4.82,0.42,0.4
27/02/2017 17:26:00,4.86,0.83,0.8
28/02/2017 17:26:00,4.85,-0.21,-0.2
01/03/2017 17:26:00,4.93,1.65,1.6
02/03/2017 17:26:00,4.94,0.2,0.2
03/03/2017 17:26:00,4.98,0.81,0.8
06/03/2017 17:26:00,4.95,-0.6,-0.6
07/03/2017 17:26:00,4.91,-0.81,-0.8
08/03/2017 17:26:00,4.89,-0.41,-0.4
09/03/2017 17:26:00,4.96,1.43,1.4
10/03/2017 17:26:00,4.99,0.6,0.6
13/03/2017 17:26:00,4.99,0,0
14/03/2017 17:26:00,4.98,-0.2,-0.2
15/03/2017 17:26:00,5,0.4,0.4
16/03/2017 17:26:00,5.05,1,1
17/03/2017 17:26:00,5.07,0.4,0.4
20/03/2017 17:26:00,5.15,1.58,1.6
21/03/2017 17:26:00,5.01,-2.72,-2.8
22/03/2017 17:26:00,4.96,-1,-1
23/03/2017 17:26:00,5,0.81,0.8
24/03/2017 17:26:00,4.95,-1,-1
27/03/2017 17:26:00,5.04,1.82,1.8
28/03/2017 17:26:00,4.96,-1.59,-1.6
29/03/2017 17:26:00,4.98,0.4,0.4
30/03/2017 17:26:00,4.99,0.2,0.2
31/03/2017 17:26:00,5.02,0.6,0.6
03/04/2017 17:26:00,4.94,-1.59,-1.6
04/04/2017 17:26:00,4.97,0.61,0.6
05/04/2017 17:26:00,4.87,-2.01,-2
06/04/2017 17:26:00,4.92,1.03,1
07/04/2017 17:26:00,4.95,0.61,0.6
10/04/2017 17:26:00,5.01,1.21,1.2
11/04/2017 17:26:00,4.93,-1.6,-1.6
12/04/2017 17:26:00,4.97,0.81,0.8
13/04/2017 17:26:00,4.95,-0.4,-0.4
18/04/2017 17:26:00,4.86,-1.82,-1.8
19/04/2017 17:26:00,4.84,-0.41,-0.4
20/04/2017 17:26:00,4.9,1.24,1.2
21/04/2017 17:26:00,4.84,-1.22,-1.2
24/04/2017 17:26:00,4.93,1.86,1.8
25/04/2017 17:26:00,4.96,0.61,0.6
26/04/2017 17:26:00,4.96,0,0
27/04/2017 17:26:00,5.2,4.84,4.8
28/04/2017 17:26:00,5.24,0.77,0.8
02/05/2017 17:26:00,5.37,2.48,2.4
03/05/2017 17:26:00,5.38,0.19,0.2
04/05/2017 17:26:00,5.4,0.37,0.4
05/05/2017 17:26:00,5.59,3.52,3.6
08/05/2017 17:26:00,5.6,0.18,0.2
09/05/2017 17:26:00,5.68,1.43,1.4
10/05/2017 17:26:00,5.63,-0.88,-0.8
11/05/2017 17:26:00,5.6,-0.53,-0.6
