Date,Close,Change,AVG
03/01/2017 15:30:00,36480.00,1.05,1
04/01/2017 15:30:00,36160.00,-0.88,-0.8
05/01/2017 15:30:00,35560.00,-1.66,-1.6
06/01/2017 15:30:00,36200.00,1.8,1.8
09/01/2017 15:30:00,37220.00,2.82,2.8
10/01/2017 15:30:00,37240.00,0.05,0
11/01/2017 15:30:00,38280.00,2.79,2.8
12/01/2017 15:30:00,38800.00,1.36,1.4
13/01/2017 15:30:00,37460.00,-3.45,-3.4
16/01/2017 15:30:00,36660.00,-2.14,-2.2
17/01/2017 15:30:00,36960.00,0.82,0.8
18/01/2017 15:30:00,36940.00,-0.05,0
19/01/2017 15:30:00,37480.00,1.46,1.4
20/01/2017 15:30:00,37200.00,-0.75,-0.8
23/01/2017 15:30:00,38060.00,2.31,2.4
24/01/2017 15:30:00,38160.00,0.26,0.2
25/01/2017 15:30:00,39400.00,3.25,3.2
26/01/2017 15:30:00,39900.00,1.27,1.2
31/01/2017 15:30:00,39460.00,-1.1,-1.2
01/02/2017 15:30:00,39120.00,-0.86,-0.8
02/02/2017 15:30:00,39360.00,0.61,0.6
03/02/2017 15:30:00,39460.00,0.25,0.2
06/02/2017 15:30:00,39560.00,0.25,0.2
07/02/2017 15:30:00,38820.00,-1.87,-1.8
08/02/2017 15:30:00,38400.00,-1.08,-1
09/02/2017 15:30:00,38400.00,0,0
10/02/2017 15:30:00,38360.00,-0.1,-0.2
13/02/2017 15:30:00,37960.00,-1.04,-1
14/02/2017 15:30:00,37580.00,-1,-1
15/02/2017 15:30:00,37720.00,0.37,0.4
16/02/2017 15:30:00,38020.00,0.8,0.8
17/02/2017 15:30:00,37860.00,-0.42,-0.4
20/02/2017 15:30:00,38660.00,2.11,2.2
21/02/2017 15:30:00,38940.00,0.72,0.8
22/02/2017 15:30:00,39300.00,0.92,1
23/02/2017 15:30:00,39180.00,-0.31,-0.4
24/02/2017 15:30:00,38220.00,-2.45,-2.4
27/02/2017 15:30:00,38060.00,-0.42,-0.4
28/02/2017 15:30:00,38440.00,1,1
02/03/2017 15:30:00,39720.00,3.33,3.4
03/03/2017 15:30:00,39620.00,-0.25,-0.2
06/03/2017 15:30:00,40080.00,1.16,1.2
07/03/2017 15:30:00,40200.00,0.3,0.2
08/03/2017 15:30:00,40200.00,0,0
09/03/2017 15:30:00,40200.00,0,0
10/03/2017 15:30:00,40180.00,-0.05,0
13/03/2017 15:30:00,40600.00,1.05,1
14/03/2017 15:30:00,41360.00,1.87,1.8
15/03/2017 15:30:00,41400.00,0.1,0
16/03/2017 15:30:00,41840.00,1.06,1
17/03/2017 15:30:00,42400.00,1.34,1.4
20/03/2017 15:30:00,41900.00,-1.18,-1.2
21/03/2017 15:30:00,42560.00,1.58,1.6
22/03/2017 15:30:00,42460.00,-0.23,-0.2
23/03/2017 15:30:00,41800.00,-1.55,-1.6
24/03/2017 15:30:00,41500.00,-0.72,-0.8
27/03/2017 15:30:00,41200.00,-0.72,-0.8
28/03/2017 15:30:00,41480.00,0.68,0.6
29/03/2017 15:30:00,41780.00,0.72,0.8
30/03/2017 15:30:00,41980.00,0.48,0.4
31/03/2017 15:30:00,41200.00,-1.86,-1.8
03/04/2017 15:30:00,41440.00,0.58,0.6
04/04/2017 15:30:00,42080.00,1.54,1.6
05/04/2017 15:30:00,42140.00,0.14,0.2
06/04/2017 15:30:00,41840.00,-0.71,-0.8
07/04/2017 15:30:00,41600.00,-0.57,-0.6
10/04/2017 15:30:00,41940.00,0.82,0.8
11/04/2017 15:30:00,41600.00,-0.81,-0.8
12/04/2017 15:30:00,41900.00,0.72,0.8
13/04/2017 15:30:00,42420.00,1.24,1.2
14/04/2017 15:30:00,42020.00,-0.94,-1
17/04/2017 15:30:00,41560.00,-1.09,-1
18/04/2017 15:30:00,41500.00,-0.14,-0.2
19/04/2017 15:30:00,40900.00,-1.45,-1.4
20/04/2017 15:30:00,40280.00,-1.52,-1.6
21/04/2017 15:30:00,40760.00,1.19,1.2
24/04/2017 15:30:00,41240.00,1.18,1.2
25/04/2017 15:30:00,42700.00,3.54,3.6
26/04/2017 15:30:00,42800.00,0.23,0.2
27/04/2017 15:30:00,43840.00,2.43,2.4
28/04/2017 15:30:00,44620.00,1.78,1.8
02/05/2017 15:30:00,44900.00,0.63,0.6
04/05/2017 15:30:00,45520.00,1.38,1.4
08/05/2017 15:30:00,47020.00,3.3,3.2
10/05/2017 15:30:00,45600.00,-3.02,-3
11/05/2017 15:30:00,45500.00,-0.22,-0.2
12/05/2017 15:30:00,45820.00,0.7,0.8
15/05/2017 15:30:00,46100.00,0.61,0.6
16/05/2017 15:30:00,46380.00,0.61,0.6
17/05/2017 15:30:00,46340.00,-0.09,0
18/05/2017 15:30:00,45940.00,-0.86,-0.8
19/05/2017 15:30:00,44720.00,-2.66,-2.6
22/05/2017 15:30:00,45100.00,0.85,0.8
23/05/2017 15:30:00,44920.00,-0.4,-0.4
24/05/2017 15:30:00,44880.00,-0.09,0
25/05/2017 15:30:00,45680.00,1.78,1.8
26/05/2017 15:30:00,46080.00,0.88,0.8
29/05/2017 15:30:00,45620.00,-1,-1
30/05/2017 15:30:00,44640.00,-2.15,-2.2
31/05/2017 15:30:00,44700.00,0.13,0.2
01/06/2017 15:30:00,44680.00,-0.04,0
02/06/2017 15:30:00,45960.00,2.86,2.8
05/06/2017 15:30:00,45940.00,-0.04,0
07/06/2017 15:30:00,45300.00,-1.39,-1.4
08/06/2017 15:30:00,45160.00,-0.31,-0.4
09/06/2017 15:30:00,46100.00,2.08,2
12/06/2017 15:30:00,45380.00,-1.56,-1.6
13/06/2017 15:30:00,45400.00,0.04,0
14/06/2017 15:30:00,45360.00,-0.09,0
15/06/2017 15:30:00,45680.00,0.71,0.8
16/06/2017 15:30:00,45580.00,-0.22,-0.2
19/06/2017 15:30:00,46560.00,2.15,2.2
20/06/2017 15:30:00,48140.00,3.39,3.4
21/06/2017 15:30:00,47480.00,-1.37,-1.4
22/06/2017 15:30:00,47960.00,1.01,1
23/06/2017 15:30:00,47620.00,-0.71,-0.8
26/06/2017 15:30:00,48280.00,1.39,1.4
27/06/2017 15:30:00,48300.00,0.04,0
28/06/2017 15:30:00,47700.00,-1.24,-1.2
29/06/2017 15:30:00,47940.00,0.5,0.6
30/06/2017 15:30:00,47540.00,-0.83,-0.8
03/07/2017 15:30:00,47220.00,-0.67,-0.6
04/07/2017 15:30:00,47000.00,-0.47,-0.4
05/07/2017 15:30:00,47580.00,1.23,1.2
06/07/2017 15:30:00,48060.00,1.01,1
07/07/2017 15:30:00,47860.00,-0.42,-0.4
10/07/2017 15:30:00,48660.00,1.67,1.6
11/07/2017 15:30:00,49000.00,0.7,0.6
12/07/2017 15:30:00,49880.00,1.8,1.8
13/07/2017 15:30:00,50560.00,1.36,1.4
14/07/2017 15:30:00,50480.00,-0.16,-0.2
17/07/2017 15:30:00,50640.00,0.32,0.4
18/07/2017 15:30:00,50840.00,0.39,0.4
19/07/2017 15:30:00,50740.00,-0.2,-0.2
20/07/2017 15:30:00,51200.00,0.91,1
21/07/2017 15:30:00,51080.00,-0.23,-0.2
24/07/2017 15:30:00,50860.00,-0.43,-0.4
25/07/2017 15:30:00,50000.00,-1.69,-1.6
26/07/2017 15:30:00,49840.00,-0.32,-0.4
27/07/2017 15:30:00,49800.00,-0.08,0
28/07/2017 15:30:00,47760.00,-4.1,-4
31/07/2017 15:30:00,48200.00,0.92,1
01/08/2017 15:30:00,48600.00,0.83,0.8
02/08/2017 15:30:00,49000.00,0.82,0.8
03/08/2017 15:30:00,47780.00,-2.49,-2.4
04/08/2017 15:30:00,47700.00,-0.17,-0.2
07/08/2017 15:30:00,47580.00,-0.25,-0.2
08/08/2017 15:30:00,47720.00,0.29,0.2
09/08/2017 15:30:00,46280.00,-3.02,-3
10/08/2017 15:30:00,45900.00,-0.82,-0.8
11/08/2017 15:30:00,44620.00,-2.79,-2.8
14/08/2017 15:30:00,45000.00,0.85,0.8
16/08/2017 15:30:00,46200.00,2.67,2.6
17/08/2017 15:30:00,47040.00,1.82,1.8
18/08/2017 15:30:00,46900.00,-0.3,-0.2
21/08/2017 15:30:00,46840.00,-0.13,-0.2
22/08/2017 15:30:00,47000.00,0.34,0.4
23/08/2017 15:30:00,47480.00,1.02,1
24/08/2017 15:30:00,47520.00,0.08,0
25/08/2017 15:30:00,47020.00,-1.05,-1
28/08/2017 15:30:00,46100.00,-1.96,-2
29/08/2017 15:30:00,46080.00,-0.04,0
30/08/2017 15:30:00,46200.00,0.26,0.2
31/08/2017 15:30:00,46320.00,0.26,0.2
01/09/2017 15:30:00,46480.00,0.35,0.4
04/09/2017 15:30:00,46040.00,-0.95,-1
05/09/2017 15:30:00,46760.00,1.56,1.6
06/09/2017 15:30:00,47000.00,0.51,0.6
07/09/2017 15:30:00,48120.00,2.38,2.4
08/09/2017 15:30:00,49080.00,2,2
11/09/2017 15:30:00,49800.00,1.47,1.4
12/09/2017 15:30:00,49600.00,-0.4,-0.4
13/09/2017 15:30:00,49620.00,0.04,0
14/09/2017 15:30:00,50300.00,1.37,1.4
15/09/2017 15:30:00,50400.00,0.2,0.2
18/09/2017 15:30:00,52480.00,4.13,4.2
19/09/2017 15:30:00,52120.00,-0.69,-0.6
20/09/2017 15:30:00,52220.00,0.19,0.2
21/09/2017 15:30:00,52800.00,1.11,1.2
22/09/2017 15:30:00,53000.00,0.38,0.4
25/09/2017 15:30:00,53620.00,1.17,1.2
26/09/2017 15:30:00,51660.00,-3.66,-3.6
27/09/2017 15:30:00,51680.00,0.04,0
28/09/2017 15:30:00,51260.00,-0.81,-0.8
29/9/2017 15:30:00,51280.00,0.04,0
10/10/2017 15:30:00,52800.00,2.96,3
11/10/2017 15:30:00,54640.00,3.48,3.4
12/10/2017 15:30:00,54800.00,0.29,0.2
13/10/2017 15:30:00,54000.00,-1.46,-1.4
16/10/2017 15:30:00,53920.00,-0.15,-0.2
17/10/2017 15:30:00,54800.00,1.63,1.6
18/10/2017 15:30:00,54760.00,-0.07,0
19/10/2017 15:30:00,52980.00,-3.25,-3.2
20/10/2017 15:30:00,53840.00,1.62,1.6
23/10/2017 15:30:00,54300.00,0.85,0.8
24/10/2017 15:30:00,54040.00,-0.48,-0.4
25/10/2017 15:30:00,53900.00,-0.26,-0.2
26/10/2017 15:30:00,52400.00,-2.78,-2.8
27/10/2017 15:30:00,53080.00,1.3,1.2
30/10/2017 15:30:00,54040.00,1.81,1.8
31/10/2017 15:30:00,55080.00,1.92,2
01/11/2017 15:30:00,57220.00,3.89,3.8
02/11/2017 15:30:00,57060.00,-0.28,-0.2
03/11/2017 15:30:00,56380.00,-1.19,-1.2
06/11/2017 15:30:00,56380.00,0,0
07/11/2017 15:30:00,56100.00,-0.5,-0.4
08/11/2017 15:30:00,56760.00,1.18,1.2
9/11/2017 15:30:00,56340.00,-0.74,-0.8
10/11/2017 15:30:00,56400.00,0.11,0.2
13/11/2017 15:30:00,56380.00,-0.04,0
14/11/2017 15:30:00,55920.00,-0.82,-0.8
15/11/2017 15:30:00,55340.00,-1.04,-1
16/11/2017 15:30:00,55780.00,0.8,0.8
17/11/2017 15:30:00,55820.00,0.07,0
20/11/2017 15:30:00,55200.00,-1.11,-1.2
